Job Title,Job Description
Software Engineer,"Openings
:
7
Location
:
Thane
Experience
:
0-1 Year
Qualification
:
Any engineering graduate / MCA qualified
Job Description
:
.Net
ASP .Net
Java/Core Java
J2EE/ Java framework"
Full Stack Developer,software engineer responsible joining product team contributing software design software development overall product lifecycle product user love engineering process highly collaborative software engineer expected pair daily basis work user story support product evolve addition software engineer may involved product configuration performance tuning testing well production monitoring software engineer part team experienced engineer help build grow skill create support deploy production application major task responsibilites key accountability 60 - delivery & execution collaborates pair product team member ux engineering product management create secure reliable scalable software solution document review ensures quality change control standard met work product team ensure user story developer-ready easy understand testable writes custom code script automate infrastructure monitoring service test case writes custom code script `` destructive testing '' ensure adequate resiliency production configures commercial shelf solution align evolving business need creates meaningful dashboard logging alerting response ensure issue captured addressed proactively 20 - support & enablement field question product team support team monitor tool participates conversation encourage collaboration across product team provides application support software running production proactively monitor production service level objective product proactively review performance capacity aspect production code infrastructure data message processing 20 learning participates learning activity around modern software design development core practice community practice proactively view article tutorial video learn new technology best practice used within technology organization review discus code senior engineer understand best practice design pattern increase business acumen learning part business nature scope typically report software engineer manager sr manager environmental job requirement environment located comfortable indoor area unpleasant condition would infrequent objectionable travel typically requires overnight travel le 10 time additional environmental job requirement minimum qualification must eighteen year age older must legally permitted work united state additional minimum qualification experience object oriented programming language preferably java must legally permitted work united state education required knowledge skill ability typically acquired completion high school diploma and/or ged year relevant work experience 0 year physical requirement time spent sitting comfortable position frequent opportunity move rare occasion may need move lift light article additional qualification preferred qualification 0-1 year relevant work experience experience modern scripting language preferably python exposure modern web application framework ruby rail spring mvc node.js exposure front-end technology framework html cs javascript angularjs reactjs jquery exposure writing sql query relational database exposure version control system preferably git knowledge skill ability competency cultivates innovation creating new better way organization successful collaborates building partnership working collaboratively others meet shared objective communicates effectively developing delivering multi-mode communication convey clear understanding unique need different audience drive result consistently achieving result even tough circumstance global perspective taking broad view approaching issue ; using global lens interpersonal savvy relating openly comfortably diverse group people manages ambiguity operating effectively even thing certain way forward clear nimble learning actively learning experimentation tackling new problem using success failure learning fodder self-development actively seeking new way grow challenged using formal informal development channel situational adaptability adapting approach demeanor real time match shifting demand different situation
Flutter Developer,"Minimum 3 month of experience in Flutter.
Job Types: Full-time, Walk-In
Salary: From 15,000.00 per month
Schedule:
Monday to Friday
Experience:
software development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
javascript: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
Full Stack Developer,overview & responsibility objectrocket rackspace looking software engineer help build next generation database-as-a-service web application managing monitoring backing data objectrocket platform currently operates thousand node petabyte data daily.we looking thinker level part talented mission driven team building powerful tool greatly increase customer success mission disrupt market completely new product class one developer finally forget back end data source focus building compelling product focusing open source solution unparalleled specialist expertise industry best cloud database platform enable customer experience level data management ease understanding never seen ultimately improve order magnitude way developer store retrieve manage data qualification responsibility opportunity \+ architect build maintain scalable system service product \+ maintain grow current product vision toward product architecture evolve adapt new customer need \+ participate regular code review peer open pairing necessary \+ stay up-to-date modern product development including library tool browser support framework \+ collaborate team new convention library tool adopt required qualification \+ strong sense product ownership thrives fast-paced iterative environment \+ strong python skill goland \+ messaging system sns/sqs rabbitmq apachemq apache kafka \+ experience building elastic scalable apis / microservices \+ experience building solution aws gce heroku azure etc \+ exceptional problem-solving skill \+ know write deploy test code \+ working knowledge mongodb \+ working knowledge elasticsearch \+ deploying containerized docker system \+ familiar using github jenkins circle-ci ci/cd tool use github extensively \+ polyglot love using right tool job explain preferred qualification \+ etl data warehouse \+ experience working websockets asynchronous data flow \+ experience working mongodb redis elasticsearch nosql database \+ go java ruby javascript \+ entrepreneurial spirit / business sense \
Backend Developer,"Job Summary
As a UI/UX Frontend Developer, you will have the opportunity to conceptualize and implement responsive and user-friendly designs for some of the most widely used applications and interfaces in this industry.
An eye for good design, and very strong responsive Web Development capabilities are what we're looking for. You're a perfect candidate if you can pick up any standard Web interface, and make sure that it is responsive across mobiles/tablets/desktops with your CSS skills.
Responsibilities and Duties
Building Responsive User-Friendly Interfaces for Web Applications
Ensuring applications are fully responsive across all devices, layouts, orientations, etc
Conceptualizing Designs and Themes and then Developing them
Deep knowledge and thorough understanding of HTML/CSS/JavaScript
Complete ownership of the UI/UX lifecycle for the best user experience
Coordinating with the larger development team to integrate with Backend Services
Required Technologies
Front-End Technologies (HTML5/CSS3)
Web Frameworks (Bootstrap/Materialize/etc)
JavaScript/jQuery
Experience with CSS Pre-Processors (LESS/Sass/etc)
Very thorough Responsive Web Development capabilities
Comfortable with Source Control and Version Management tools
Optional Preferred Technologies
Mockup Capabilities for designs
Experience with Angular
Graphic Design abilities (PhotoShop/Illustrator/Corel/etc.)
Salary: Rs. 4,00,000 to Rs. 6,00,000 / year
Job Location: Powai, Mumbai
Temporarily working remotely due to COVID-19.
Job Type: Full-time
Salary: 400,000.00 - 600,000.00 per year
Schedule:
Day shift
Experience:
Graphic Designing: 1 year (Preferred)
Responsive Web Development: 3 years (Required)
Bootstrap/Materialize Framework: 2 years (Required)
Application Question:
What is your current (last drawn) annual CTC?
Work Remotely:
Temporarily due to COVID-19"
JavaScript Developer,"Job ID: 96647
Who are we?
If youre a smartphone user then you are part of an ever more connected and digital world. At Amdocs, we are leading the digital revolution into the future. From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are continually evolving our business to help you become more connected. We make sure that when you watch a video on YouTube, message friends on Snapchat or send your images on Instagram, you get great service anytime, anywhere, and on any device. We are at the heart of the telecommunications industry working with giants such as AT&T, Vodafone, Telstra and Telefonica, helping them create an amazing new world for you where technology is being used in amazing new ways every single day.
In one sentence
Responsible for design, development, modification, debug and/or maintenance of software systems
All you need is...
Bachelors Degree in Computer Science or equivalent.
Total Experience: 2 to 5 yrs
Expert knowledge of JavaScript ES6, React/Redux,TypeScripting, HTML5, WCMS, AEM, Webpack etc.
JavaScript based Mobile UI framework knowledge e.g. jQuery Mobile
Knowledge in CSS extension frameworks, e.g. SASS, LESS, COMPASS
Good knowledge in Object Oriented Design and development
Solid web apps design, coding, testing and debugging skills
What will your job look like?
 You will design, develop, modify, debug and/or maintain software code according to functional, non-functional and technical design specifications.
 You will follow Amdocs software engineering standards, applicable software development methodology and release processes, to ensure code is maintainable, scalable, and supportable, and demo the software products to stakeholders.
 You will investigate issues by reviewing/debugging code, provide fixes and workarounds, and review changes for operability to maintain existing software solutions.
 You will work within a team, collaborate and add value through participation in peer code reviews, provide comments and suggestions, and work with cross functional teams to achieve goals.
 You will assume technical accountability for your specific work products within an application and provide technical support during solution design for new requirements.
 You will be encouraged to actively look for innovation, continuous improvement, and efficiency in all assigned tasks.
Why you will love this job:
 You will be challenged to design and develop new software applications.
 You will have the opportunity to work in a growing organization, with ever growing opportunities for personal growth.
Amdocs is an equal opportunity employer. We welcome applicants from all backgrounds and are committed to fostering a diverse and inclusive workforce"
JavaScript Developer,"We are looking for a Senior Software Engineer to join our product development team in Hyderabad, India to participate in projects from early design stages and play a critical role in driving them to delivery. Our team is responsible for the development of editors and other core components central to the evolution of MATLAB, Simulink, and our other products. You will work with a group of forward thinking, cross-functional full stack engineers to deliver well-crafted, high quality user interface components.
Strong software engineering skills with industry experience delivering commercial software
Work with core teams to invent new ways for users to interact with MATLAB code
Prepare and present design specifications to colleagues
Write carefully crafted, well-tested, modular code
Lead cross-functional project teams to deliver features in a fast-paced Agile environment
Mentor and assist engineers on the team
Excellent software engineering fundamentals
Web application system architecture design experience (full stack architecture)
Experience with at least one of the following: Java, MATLAB, or C++
Excellent design skills, familiarity with Agile development practices, continuous integration, continuous delivery and automated testing
Experience with the design and development of reusable components that are used by other groups or teams
Experience with JavaScript
Experience with JavaScript Frameworks
Experience with HTML
Expertise with CSS
A bachelor's degree and 7 years of professional work experience (or a master's degree and 5 years of professional work experience, or a PhD degree, or equivalent experience) is required."
Node js developer,"Roles & Responsibilities:
We are looking for an expert JavaScript developer who is highly skilled with VUE.js
Server-based Node.js development
Good self-management skills; highly organized and able to prioritize
Excellent understanding of CSS, HTML & Javascript
Required Skills (Technical Competency):
4+ years of experience in Node JS (Server side) and VUE.JS
Implement web applications and components with the Vue.js framework, following generally accepted practices and workflows
Strong experience with Node.js while utilizing Node.js frameworks
Coding and implementation using best practices to produce high performing/scalable/secured modules
Desired Skills:
Experience with distributed source control like Git
Understanding of server-side rendering and its benefits and use cases
Excellent communication skills, both written and verbal; documentation"
Node js developer,"Job Description
We are looking for a Node.js Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application. Therefore, a basic understanding of front-end technologies is necessary as well.
Responsibilities
Integration of user-facing elements developed by front-end developers with server side logic
Writing reusable, testable, and efficient code
Design and implementation of low-latency, high-availability, and performant applications
Implementation of security and data protection
Integration of data storage solutions {{may include databases, key-value stores, blob stores, etc.}}
{{Add other responsibilities here that are relevant}}
Skills And Qualifications
Strong proficiency with JavaScript {{or CoffeeScript depending on your technology stack}}
Knowledge of Node.js and frameworks available for it {{such as Express, StrongLoop, etc depending on your technology stack}}
Understanding the nature of asynchronous programming and its quirks and workarounds
Good understanding of server-side templating languages {{such as Jade, EJS, etc depending on your technology stack}}
Good understanding of server-side CSS preprocessors {{such as Stylus, Less, etc depending on your technology stack}}
Basic understanding of front-end technologies, such as HTML5, and CSS3
Understanding accessibility and security compliance {{Depending on the specific project}}
User authentication and authorization between multiple systems, servers, and environments
Integration of multiple data sources and databases into one system
Understanding fundamental design principles behind a scalable application
Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform
Creating database schemas that represent and support business processes
Implementing automated testing platforms and unit tests
Proficient understanding of code versioning tools, such as Git
{{Make sure to mention other frameworks, libraries, or any other technology related to your development stack}}
Contract length: 12 months
Job Types: Full-time, Contract
Salary: 15,000.00 - 60,000.00 per month
Experience:
software development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
Java Developer,"Core Java
 Java Script, Webservice,
 Proficient on SQL, PL/SQL, No Sql Mongo DB
 Experience in RMI, Spring MVC
 JSP, jQuery
 Proficient in Java, with solid understanding of OOP, multi-threading programming, Data Structures and algorithms
 Experienced with various design patterns in Java with real-time implementation.
 Familiarity with concepts of JDBC
 Good understanding of JVM, tuning, and profiling tools.
 Proficient understanding of code versioning tools, such as SVN
 Familiarity with build tools such as Maven, and Gradle
Contract length: 12 months
Job Types: Full-time, Temporary, Contract
Salary: 40,000.00 - 1,800,000.00 per year
Benefits:
Commuter assistance
Health insurance
Work from home
Schedule:
Day shift
Monday to Friday
Experience:
spring: 1 year (Preferred)
total work: 1 year (Preferred)
JSP: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Licence:
Java SE 7 Programmer (Preferred)
Work Remotely:
Temporarily due to COVID-19
Speak with the employer
+91 9121312597"
